"country_name","year","Health_expendGDP","Outpocket_expend","Education_expendGDP","Physicians","Mortality_rate","Literacy_rate","Open_defecation","managed_water","continent"
"Kuwait",2010,4.19000292,47.22499084,3.40350008,1.5829,10.4,92.68093872,1,1,"Asia"
"Kuwait",2012,4.19000292,47.22499084,3.40350008,1.5829,9.6,94.96524811,1,1,"Asia"
"Kuwait",2013,4.19000292,47.22499084,3.40350008,1.5829,9.3,94.30116272,1,1,"Asia"
"Kuwait",2015,4.01473618,14.37861347,4.771480083,2.6463,8.7,94.470047,1,1,"Asia"
"Kuwait",2017,4.19000292,47.22499084,3.40350008,1.5829,8.3,94.82576752,1,1,"Asia"
"Kuwait",2018,4.19000292,47.22499084,3.40350008,1.5829,8.1,94.905159,1,1,"Asia"
"Lebanon",2001,10.56954956,54.84231186,2.841480017,2.8827,20.3,91.272994995,1,55.75332056,"Asia"
"Lebanon",2006,8.65032196,44.68946075,2.779759884,2.4707,20.3,91.272994995,1,55.75332056,"Asia"
"Lebanon",2007,8.54391384,44.07956696,2.583570004,2.3464,12.2,85.96778107,0.087306101,45.52254034,"Asia"
"Lebanon",2009,4.19000292,47.22499084,3.40350008,1.5829,10.8,88.08705902,0.095062051,45.88974592,"Asia"
"Lebanon",2010,7.4433217,43.58500671,1.613309979,2.3385,20.3,91.272994995,1,55.75332056,"Asia"
"Lebanon",2011,8.1471138,40.18660736,1.652519941,2.6201,20.3,91.272994995,1,55.75332056,"Asia"
"Lebanon",2013,7.57978058,32.86431885,2.432450056,2.2486,20.3,91.272994995,1,55.75332056,"Asia"
"Lebanon",2014,7.84629583,33.83569717,1,2.0735,20.3,91.272994995,1,55.75332056,"Asia"
"Lebanon",2015,7.67934227,33.17491913,2.099999905,2.103,20.3,91.272994995,1,55.75332056,"Asia"
"Lebanon",2016,7.98103571,32.86078644,2.123929977,2.0115,20.3,91.272994995,1,55.75332056,"Asia"
"Lebanon",2017,8.44765568,32.22737122,2.132940054,2.0255,20.3,91.272994995,1,55.75332056,"Asia"
"Lebanon",2018,8.35297012,33.21875,2.524470091,2.1038,7.4,93.30500793,0.129963823,47.54217105,"Asia"
"Malaysia",2000,2.52807355,41.01725388,5.971610069,0.6961,10.2,85.35421753,1.605168748,92.57730056,"Asia"
"Malaysia",2002,2.68479466,35.03468704,7.657929897,0.7031,20.3,91.272994995,1,55.75332056,"Asia"
"Malaysia",2008,3.02357388,35.89097977,3.958519936,0.9216,20.3,91.272994995,1,55.75332056,"Asia"
"Malaysia",2010,3.18466234,34.52879333,4.966450214,1.1691,8.1,90.74768066,0.54671473,93.31696346,"Asia"
"Malaysia",2011,3.33996487,34.51544189,5.76293993,1.2777,20.3,91.272994995,1,55.75332056,"Asia"
"Malaysia",2012,3.48790693,33.61474991,5.739029884,1.332,20.3,91.272994995,1,55.75332056,"Asia"
"Malaysia",2015,3.81608534,33.34957123,4.894869804,1.5358,20.3,91.272994995,1,55.75332056,"Asia"
"Malaysia",2016,4.19000292,47.22499084,3.40350008,1.5829,8.2,93.36942291,0.283015011,93.62527158,"Asia"
"Maldives",2004,7.48356962,59.50085068,4.661600113,0.9701,20.3,91.272994995,1,55.75332056,"Asia"
"Maldives",2007,8.30568123,47.22499084,4.417880058,1.6468,20.3,91.272994995,1,55.75332056,"Asia"
"Maldives",2009,10.0928812,34.3166008,5.081689835,1.4884,20.3,91.272994995,1,55.75332056,"Asia"
"Maldives",2010,8.48759079,40.07978439,3.633280039,1.4356,20.3,91.272994995,1,55.75332056,"Asia"
"Maldives",2014,7.90784121,28.1368351,3.088589907,1.7701,20.3,91.272994995,1,55.75332056,"Asia"
"Maldives",2015,8.6903019,19.53098488,3.887490034,2.8863,20.3,91.272994995,1,55.75332056,"Asia"
"Maldives",2016,10.19969177,18.97980499,3.68701005,1.0379,20.3,91.272994995,1,55.75332056,"Asia"
"Maldives",2017,9.02997589,20.64699745,3.887470007,3.7228,20.3,91.272994995,1,55.75332056,"Asia"
"Maldives",2018,9.41152477,20.62516403,3.912489891,4.5627,20.3,91.272994995,1,55.75332056,"Asia"
